               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12926,            0.035874,                   0,            0.010855,             0.53846,            0.014579,           0.0029448,             0.13492,            0.029408,                   0,              0.0973,              0.0003,              0.0003
                   1,              0.1244,            0.036865,                   0,            0.031789,             0.69231,             0.05067,            0.010028,             0.12431,            0.031591,                   0,            0.093691,          0.00069123,          0.00069123
                   2,             0.10978,            0.036854,                   0,             0.32198,             0.23077,             0.17037,            0.041538,            0.087618,            0.035545,                   0,            0.090072,           0.0010724,           0.0010724
                   3,            0.092941,             0.04031,                   0,             0.25052,             0.65385,             0.35536,             0.10423,            0.074581,            0.035978,                   0,            0.086444,           0.0014436,           0.0014436
                   4,            0.088453,            0.041618,                   0,             0.45888,             0.26137,             0.43479,             0.14576,            0.071771,            0.035357,                   0,            0.082805,           0.0018048,           0.0018048
                   5,            0.083776,             0.03792,                   0,             0.42308,             0.69231,             0.50689,             0.18223,            0.062222,            0.036067,                   0,            0.079156,           0.0021559,           0.0021559
                   6,            0.077326,            0.038251,                   0,              0.2969,              0.6172,             0.35551,             0.16386,            0.057844,            0.032743,                   0,            0.075497,            0.002497,            0.002497
                   7,            0.075783,            0.039508,                   0,             0.40528,             0.73077,             0.56015,             0.16081,            0.068296,             0.03005,                   0,            0.071828,           0.0028281,           0.0028281
                   8,            0.072728,            0.035811,                   0,             0.21051,             0.84615,             0.21912,             0.07868,            0.062373,            0.028206,                   0,            0.068149,           0.0031491,           0.0031491
                   9,            0.069981,             0.03211,                   0,             0.51321,             0.80769,             0.71147,             0.31773,            0.057256,            0.028399,                   0,             0.06446,           0.0034601,           0.0034601
                  10,            0.066648,            0.031451,                   0,             0.32234,             0.76923,             0.42762,             0.12499,            0.062971,            0.027114,                   0,            0.060761,           0.0037611,           0.0037611
                  11,            0.062383,            0.029339,                   0,             0.54866,             0.80769,             0.63651,             0.21852,            0.070718,             0.03122,                   0,            0.057052,           0.0040521,           0.0040521
                  12,             0.06179,            0.026984,                   0,             0.88905,             0.92308,             0.97161,             0.37632,            0.057364,            0.031707,                   0,            0.053333,           0.0043331,           0.0043331
                  13,             0.06407,            0.026295,                   0,             0.57858,               0.634,             0.60261,             0.16015,            0.071834,            0.031143,                   0,            0.049604,            0.004604,            0.004604
                  14,            0.071431,            0.025562,                   0,             0.39591,             0.65385,             0.44728,             0.10365,            0.054766,            0.029776,                   0,            0.045865,           0.0048649,           0.0048649
                  15,            0.059917,            0.028462,                   0,             0.63527,             0.73706,             0.73192,             0.35825,            0.058979,            0.026093,                   0,            0.042116,           0.0051158,           0.0051158
                  16,            0.059627,            0.028793,                   0,             0.63521,             0.84615,             0.75699,             0.21146,            0.050446,            0.026627,                   0,            0.038357,           0.0053566,           0.0053566
                  17,            0.051607,            0.029373,                   0,             0.25349,             0.61538,             0.40133,             0.08666,            0.084293,            0.024502,                   0,            0.034587,           0.0055874,           0.0055874
                  18,             0.07228,            0.023011,                   0,             0.55259,             0.76025,             0.72718,             0.28644,              0.0491,            0.022108,                   0,            0.030808,           0.0058082,           0.0058082
                  19,            0.060882,            0.025719,                   0,             0.38617,             0.65385,             0.45882,             0.13153,             0.06727,            0.022002,                   0,            0.027019,            0.006019,            0.006019
                  20,             0.06151,            0.024602,                   0,             0.32713,             0.88462,             0.40382,             0.11355,            0.065461,            0.019852,                   0,             0.02322,           0.0062197,           0.0062197
                  21,            0.069919,             0.02496,                   0,             0.71611,             0.87342,             0.91373,             0.38731,            0.051775,            0.019677,                   0,             0.01941,           0.0064105,           0.0064105
                  22,            0.060619,             0.02436,                   0,             0.67075,             0.76923,             0.85135,             0.32274,            0.047907,            0.019411,                   0,            0.015591,           0.0065912,           0.0065912
                  23,            0.058863,            0.028071,                   0,             0.86062,             0.88462,              0.9388,              0.4965,            0.050304,            0.019431,                   0,            0.011762,           0.0067618,           0.0067618
                  24,            0.047675,            0.024237,                   0,             0.81021,             0.84615,             0.92732,              0.3525,            0.049249,            0.020506,                   0,           0.0079225,           0.0069225,           0.0069225
                  25,            0.060892,            0.023031,                   0,             0.88171,             0.92308,             0.97389,              0.3619,            0.050774,              0.0193,                   0,           0.0068671,           0.0068671,           0.0068671
                  26,            0.052144,            0.021373,                   0,             0.44928,             0.84615,              0.6038,             0.19875,            0.059587,            0.021942,                   0,           0.0068671,           0.0068671,           0.0068671
                  27,            0.057971,            0.022401,                   0,              0.7019,             0.84615,             0.89322,             0.36729,            0.050628,            0.018012,                   0,           0.0067418,           0.0067418,           0.0067418
                  28,            0.051327,            0.024509,                   0,              0.8595,             0.88462,             0.96565,              0.5776,            0.045483,            0.017594,                   0,           0.0066165,           0.0066165,           0.0066165
                  29,            0.048799,            0.023498,                   0,             0.81388,             0.84615,             0.89779,             0.37541,            0.050292,            0.018356,                   0,           0.0064911,           0.0064911,           0.0064911
                  30,            0.051809,            0.022324,                   0,             0.80953,             0.76923,             0.87399,                 0.5,            0.049318,            0.018643,                   0,           0.0063658,           0.0063658,           0.0063658
                  31,            0.048307,            0.020662,                   0,             0.54679,                   1,             0.65322,             0.29769,            0.039111,             0.01941,                   0,           0.0062405,           0.0062405,           0.0062405
                  32,            0.045736,            0.023691,                   0,             0.85572,                   1,             0.98796,             0.62356,            0.051933,            0.021926,                   0,           0.0061152,           0.0061152,           0.0061152
                  33,            0.051923,            0.020079,                   0,             0.75093,             0.92779,             0.95877,             0.48437,            0.042079,            0.021152,                   0,           0.0059899,           0.0059899,           0.0059899
                  34,            0.048256,             0.01942,                   0,             0.84878,             0.92308,             0.95359,             0.44572,            0.045908,            0.019023,                   0,           0.0058646,           0.0058646,           0.0058646
                  35,            0.040189,             0.02382,                   0,             0.81085,             0.92308,             0.97449,             0.56084,            0.032395,            0.018414,                   0,           0.0057392,           0.0057392,           0.0057392
                  36,            0.038286,            0.022041,                   0,             0.69514,             0.92308,              0.7943,             0.34276,            0.046602,            0.019599,                   0,           0.0056139,           0.0056139,           0.0056139
                  37,            0.041312,            0.021768,                   0,             0.89003,                   1,             0.98301,             0.56034,            0.029219,            0.017381,                   0,           0.0054886,           0.0054886,           0.0054886
                  38,            0.036194,            0.019003,                   0,             0.68983,             0.92308,             0.84692,              0.5051,            0.041459,             0.01752,                   0,           0.0053633,           0.0053633,           0.0053633
                  39,            0.040975,            0.018079,                   0,             0.82194,             0.92308,             0.95855,             0.49944,            0.031259,            0.016915,                   0,            0.005238,            0.005238,            0.005238
                  40,            0.036572,            0.019123,                   0,             0.74826,             0.92308,             0.91914,             0.60048,              0.0328,            0.017328,                   0,           0.0051127,           0.0051127,           0.0051127
                  41,            0.039211,            0.020212,                   0,             0.89069,             0.94058,             0.98511,             0.59081,            0.029441,            0.016425,                   0,           0.0049873,           0.0049873,           0.0049873
                  42,            0.035389,            0.020666,                   0,             0.85542,                   1,             0.98616,             0.57402,            0.032177,            0.017131,                   0,            0.004862,            0.004862,            0.004862
                  43,            0.035733,             0.01833,                   0,             0.94917,                   1,               0.995,             0.63771,            0.028516,            0.016145,                   0,           0.0047367,           0.0047367,           0.0047367
                  44,            0.034899,            0.019205,                   0,             0.88777,               0.913,             0.97126,             0.61379,            0.032628,             0.01719,                   0,           0.0046114,           0.0046114,           0.0046114
                  45,            0.038602,            0.018035,                   0,             0.99168,                   1,               0.995,              0.6373,            0.026516,            0.016049,                   0,           0.0044861,           0.0044861,           0.0044861
                  46,            0.029888,            0.016594,                   0,             0.70265,             0.92308,             0.84775,             0.56972,            0.033103,            0.016417,                   0,           0.0043608,           0.0043608,           0.0043608
                  47,            0.037282,            0.017832,                   0,             0.96059,                   1,             0.99241,             0.61054,            0.028992,            0.015492,                   0,           0.0042354,           0.0042354,           0.0042354
                  48,             0.03131,            0.018319,                   0,             0.98315,             0.96154,             0.99286,             0.67167,            0.026665,             0.01542,                   0,           0.0041101,           0.0041101,           0.0041101
                  49,            0.034264,            0.017224,                   0,             0.99776,                   1,               0.995,             0.68585,             0.02603,            0.014926,                   0,           0.0039848,           0.0039848,           0.0039848
                  50,            0.031002,            0.016673,                   0,             0.99716,                   1,               0.995,             0.66439,            0.027244,            0.015578,                   0,           0.0038595,           0.0038595,           0.0038595
                  51,              0.0312,            0.016196,                   0,             0.99742,                   1,               0.995,             0.66397,            0.024525,            0.014738,                   0,           0.0037342,           0.0037342,           0.0037342
                  52,            0.029691,            0.016884,                   0,             0.99679,                   1,               0.995,              0.7193,            0.024657,            0.015031,                   0,           0.0036089,           0.0036089,           0.0036089
                  53,            0.030646,            0.017967,                   0,             0.99729,                   1,               0.995,             0.65718,            0.023719,            0.014319,                   0,           0.0034835,           0.0034835,           0.0034835
                  54,            0.028476,            0.017238,                   0,             0.99702,                   1,               0.995,             0.74888,            0.023313,            0.014607,                   0,           0.0033582,           0.0033582,           0.0033582
                  55,            0.029323,            0.015961,                   0,             0.99714,                   1,               0.995,             0.71169,            0.022568,            0.014246,                   0,           0.0032329,           0.0032329,           0.0032329
                  56,            0.026731,            0.017546,                   0,             0.99561,                   1,               0.995,             0.68964,            0.024404,            0.014743,                   0,           0.0031076,           0.0031076,           0.0031076
                  57,              0.0292,            0.019027,                   0,             0.99703,                   1,               0.995,             0.74805,            0.019914,            0.013983,                   0,           0.0029823,           0.0029823,           0.0029823
                  58,            0.026731,            0.016875,                   0,             0.95533,                   1,             0.99241,             0.67492,            0.025209,            0.014449,                   0,            0.002857,            0.002857,            0.002857
                  59,            0.027487,            0.016094,                   0,             0.99715,                   1,               0.995,             0.78135,            0.019307,            0.013829,                   0,           0.0027316,           0.0027316,           0.0027316
                  60,            0.025391,            0.016503,                   0,             0.99734,                   1,               0.995,             0.75189,            0.023412,            0.014314,                   0,           0.0026063,           0.0026063,           0.0026063
                  61,            0.026584,            0.016209,                   0,             0.99722,                   1,               0.995,             0.74783,            0.019728,            0.014014,                   0,            0.002481,            0.002481,            0.002481
                  62,            0.027281,             0.01634,                   0,             0.99708,                   1,               0.995,             0.71332,            0.022117,            0.014298,                   0,           0.0023557,           0.0023557,           0.0023557
                  63,            0.026369,            0.015284,                   0,             0.99742,                   1,               0.995,             0.75945,            0.018745,            0.013837,                   0,           0.0022304,           0.0022304,           0.0022304
                  64,            0.024483,            0.017441,                   0,             0.99759,                   1,               0.995,             0.73086,            0.020312,            0.014073,                   0,           0.0021051,           0.0021051,           0.0021051
                  65,            0.027789,            0.015956,                   0,             0.99763,                   1,               0.995,             0.75615,            0.018262,            0.013784,                   0,           0.0019797,           0.0019797,           0.0019797
                  66,            0.022707,            0.014252,                   0,             0.99762,                   1,               0.995,             0.75902,            0.019985,            0.013923,                   0,           0.0018544,           0.0018544,           0.0018544
                  67,            0.023321,            0.014212,                   0,             0.99782,                   1,               0.995,             0.78158,            0.018197,            0.013804,                   0,           0.0017291,           0.0017291,           0.0017291
                  68,            0.021923,            0.016996,                   0,             0.99811,                   1,               0.995,             0.74811,            0.018912,            0.013957,                   0,           0.0016038,           0.0016038,           0.0016038
                  69,            0.023241,            0.013995,                   0,             0.99834,                   1,               0.995,             0.78743,            0.017731,            0.013895,                   0,           0.0014785,           0.0014785,           0.0014785
                  70,            0.022431,            0.012892,                   0,             0.99847,                   1,               0.995,             0.77954,            0.018854,            0.013956,                   0,           0.0013532,           0.0013532,           0.0013532
                  71,            0.022703,            0.015466,                   0,             0.99852,                   1,               0.995,             0.79495,            0.017951,            0.013742,                   0,           0.0012278,           0.0012278,           0.0012278
                  72,            0.021504,            0.015753,                   0,             0.99851,                   1,               0.995,             0.77595,            0.018062,            0.013722,                   0,           0.0011025,           0.0011025,           0.0011025
                  73,            0.021891,             0.01357,                   0,             0.99843,                   1,               0.995,             0.78628,            0.017876,            0.013687,                   0,          0.00097722,          0.00097722,          0.00097722
                  74,            0.021192,             0.01365,                   0,             0.99861,                   1,               0.995,             0.79516,            0.017493,            0.013624,                   0,           0.0008519,           0.0008519,           0.0008519
                  75,            0.020823,            0.013526,                   0,             0.99881,                   1,               0.995,             0.78754,            0.017467,            0.013515,                   0,          0.00072658,          0.00072658,          0.00072658
                  76,            0.022277,            0.017095,                   0,             0.99868,                   1,               0.995,             0.79026,            0.017173,            0.013479,                   0,          0.00060127,          0.00060127,          0.00060127
                  77,            0.021348,            0.016194,                   0,             0.99861,                   1,               0.995,             0.79124,            0.016985,            0.013442,                   0,          0.00047595,          0.00047595,          0.00047595
                  78,            0.021693,            0.014433,                   0,             0.99858,                   1,               0.995,             0.78973,            0.016916,            0.013452,                   0,          0.00035063,          0.00035063,          0.00035063
